time,load_shortfall_3h
2018-01-01 00:00:00,11233.595555555556
2018-01-01 03:00:00,7835.944444444452
2018-01-01 06:00:00,7061.5755555555625
2018-01-01 09:00:00,9904.466666666669
2018-01-01 12:00:00,10426.73388888889
2018-01-01 15:00:00,10911.166111111108
2018-01-01 18:00:00,11065.285555555556
2018-01-01 21:00:00,10615.536666666669
2018-01-02 00:00:00,9280.254444444452
2018-01-02 03:00:00,6110.837777777784
2018-01-02 06:00:00,5041.711111111113
2018-01-02 09:00:00,7216.685555555553
2018-01-02 12:00:00,7172.446111111111
2018-01-02 15:00:00,7647.105000000005
2018-01-02 18:00:00,10093.606666666672
2018-01-02 21:00:00,8440.697777777772
2018-01-03 00:00:00,9234.127777777776
2018-01-03 03:00:00,7236.619999999995
2018-01-03 06:00:00,8028.786666666658
2018-01-03 09:00:00,8174.576666666658
2018-01-03 12:00:00,8675.503333333327
2018-01-03 15:00:00,7876.78333333333
2018-01-03 18:00:00,6883.458888888884
2018-01-03 21:00:00,6428.446666666667
2018-01-04 00:00:00,9154.05444444444
2018-01-04 03:00:00,7150.560000000001
2018-01-04 06:00:00,7090.55222222222
2018-01-04 09:00:00,7469.024444444439
2018-01-04 12:00:00,8685.826666666662
2018-01-04 15:00:00,8166.118888888879
2018-01-04 18:00:00,7877.181111111102
2018-01-04 21:00:00,9242.81444444444
2018-01-05 00:00:00,10418.188888888895
2018-01-05 03:00:00,8582.362222222222
2018-01-05 06:00:00,8143.103333333335
2018-01-05 09:00:00,8069.637777777773
2018-01-05 12:00:00,6969.495555555561
2018-01-05 15:00:00,4620.852222222235
2018-01-05 18:00:00,7761.436666666668
2018-01-05 21:00:00,6415.483333333338
2018-01-06 00:00:00,10701.735555555551
2018-01-06 03:00:00,8504.105555555567
2018-01-06 06:00:00,7979.056666666677
2018-01-06 09:00:00,9607.849999999997
2018-01-06 12:00:00,11298.741111111121
2018-01-06 15:00:00,10732.955555555558
2018-01-06 18:00:00,10816.053333333331
2018-01-06 21:00:00,10263.780000000002
2018-01-07 00:00:00,9633.87333333334
2018-01-07 03:00:00,9454.316666666668
2018-01-07 06:00:00,9030.765555555556
2018-01-07 09:00:00,10430.598888888882
2018-01-07 12:00:00,11203.303333333339
2018-01-07 15:00:00,12117.819999999998
2018-01-07 18:00:00,12111.525555555569
2018-01-07 21:00:00,10608.189999999999
2018-01-08 00:00:00,11380.859999999999
2018-01-08 03:00:00,9755.467777777776
2018-01-08 06:00:00,9794.757777777775
